,current_step,losses_from_system_deleveraging HSBC,shock_for_agent HSBC,total_assets HSBC,inventory_risky_asset_quantity HSBC,systemicness HSBC,total_asset_sales HSBC,equity HSBC,inventory_risky_asset HSBC,debt HSBC,equity_losses HSBC,current_step,losses_from_system_deleveraging CITYBANK,shock_for_agent CITYBANK,total_assets CITYBANK,inventory_risky_asset_quantity CITYBANK,systemicness CITYBANK,total_asset_sales CITYBANK,equity CITYBANK,inventory_risky_asset CITYBANK,debt CITYBANK,equity_losses CITYBANK,current_step,losses_from_system_deleveraging INVESTEC,shock_for_agent INVESTEC,total_assets INVESTEC,inventory_risky_asset_quantity INVESTEC,systemicness INVESTEC,total_asset_sales INVESTEC,equity INVESTEC,inventory_risky_asset INVESTEC,debt INVESTEC,equity_losses INVESTEC,current_step,losses_from_system_deleveraging African Bank,shock_for_agent African Bank,total_assets African Bank,systemicness African Bank,total_asset_sales African Bank,equity African Bank,debt African Bank,equity_losses African Bank,current_step,losses_from_system_deleveraging CAPITEC,shock_for_agent CAPITEC,total_assets CAPITEC,systemicness CAPITEC,total_asset_sales CAPITEC,equity CAPITEC,debt CAPITEC,equity_losses CAPITEC,current_step,losses_from_system_deleveraging NEDBANK,shock_for_agent NEDBANK,total_assets NEDBANK,inventory_risky_asset_quantity NEDBANK,systemicness NEDBANK,total_asset_sales NEDBANK,equity NEDBANK,inventory_risky_asset NEDBANK,debt NEDBANK,equity_losses NEDBANK,current_step,losses_from_system_deleveraging FNB,shock_for_agent FNB,total_assets FNB,inventory_risky_asset_quantity FNB,systemicness FNB,total_asset_sales FNB,equity FNB,inventory_risky_asset FNB,debt FNB,equity_losses FNB,current_step,losses_from_system_deleveraging ABSA,shock_for_agent ABSA,total_assets ABSA,inventory_risky_asset_quantity ABSA,systemicness ABSA,total_asset_sales ABSA,equity ABSA,inventory_risky_asset ABSA,debt ABSA,equity_losses ABSA,current_step,losses_from_system_deleveraging grindrod,shock_for_agent grindrod,total_assets grindrod,systemicness grindrod,total_asset_sales grindrod,equity grindrod,debt grindrod,equity_losses grindrod,current_step,losses_from_system_deleveraging SOCIETE,shock_for_agent SOCIETE,total_assets SOCIETE,systemicness SOCIETE,total_asset_sales SOCIETE,equity SOCIETE,debt SOCIETE,equity_losses SOCIETE,current_step,losses_from_system_deleveraging BNP,shock_for_agent BNP,total_assets BNP,systemicness BNP,total_asset_sales BNP,equity BNP,debt BNP,equity_losses BNP,current_step,losses_from_system_deleveraging DB,shock_for_agent DB,total_assets DB,inventory_risky_asset_quantity DB,systemicness DB,total_asset_sales DB,equity DB,inventory_risky_asset DB,debt DB,equity_losses DB,current_step,losses_from_system_deleveraging BoC,shock_for_agent BoC,total_assets BoC,systemicness BoC,total_asset_sales BoC,equity BoC,debt BoC,equity_losses BoC,current_step,losses_from_system_deleveraging JpM,shock_for_agent JpM,total_assets JpM,inventory_risky_asset_quantity JpM,systemicness JpM,total_asset_sales JpM,equity JpM,inventory_risky_asset JpM,debt JpM,equity_losses JpM,current_step,losses_from_system_deleveraging CHARTERED,shock_for_agent CHARTERED,total_assets CHARTERED,systemicness CHARTERED,total_asset_sales CHARTERED,equity CHARTERED,debt CHARTERED,equity_losses CHARTERED,current_step,losses_from_system_deleveraging SBSA,shock_for_agent SBSA,total_assets SBSA,inventory_risky_asset_quantity SBSA,systemicness SBSA,total_asset_sales SBSA,equity SBSA,inventory_risky_asset SBSA,debt SBSA,equity_losses SBSA
0,0,0.0,0.0,49805819000.0,8706507.52556,0.0,0.0,3919312000.0,992063000.0,45886507000.0,0.0,0,0.0,0.0,76511403120.0,134622692.983,0.0,0.0,5123291030.0,15339582752.0,71388112090.0,0.0,0,0.0,0.0,3.77045809e+11,149680739.914,0.0,0.0,24265229000.0,17055371909.5,3.5278058e+11,0.0,0,0.0,0.0,57885311000.0,0.0,0.0,7466274000.0,50419037000.0,0.0,0,0.0,0.0,61970136000.0,0.0,0.0,13056412000.0,48913724000.0,0.0,0,0.0,0.0,8.08719276e+11,217868102.224,0.0,0.0,57683474000.0,24824980907.9,7.51035802e+11,0.0,0,0.0,0.0,9.7991961621e+11,453701436.737,0.0,0.0,75526054370.0,51697010208.9,9.0439356184e+11,0.0,0,0.0,0.0,9.2652611e+11,621595831.322,0.0,0.0,57255883000.0,70827737000.0,8.69270227e+11,0.0,0,0.0,0.0,11265334000.0,0.0,0.0,835546000.0,10429788000.0,0.0,0,0.0,0.0,11725793000.0,0.0,0.0,666836000.0,11058957000.0,0.0,0,0.0,0.0,14498916000.0,0.0,0.0,636568000.0,13862348000.0,0.0,0,0.0,0.0,22755256000.0,15745918.5099,0.0,0.0,1433355000.0,1794168684.61,21321901000.0,0.0,0,0.0,0.0,35643161000.0,0.0,0.0,4178651000.0,31464510000.0,0.0,0,0.0,0.0,57035796000.0,3621931.63368,0.0,0.0,3246873000.0,412701000.0,53788923000.0,0.0,0,0.0,0.0,38420025000.0,0.0,0.0,3688896000.0,34731129000.0,0.0,0,0.0,0.0,1.213528113e+12,439408495.327,0.0,0.0,86200249000.0,50068401000.0,1.127327864e+12,0.0
1,1,0.0,-0.00597558490103,46023738608.2,8706507.52556,0.0,-3484461491.76,3621693100.0,992063000.0,42402045508.2,-297618900.0,1,0.0,-0.0601462610532,7786847394.46,134622692.983,0.0,-64122680899.9,521416204.399,15339582752.0,7265431190.07,-4601874825.6,1,0.0,-0.0135702650732,2.97541224484e+11,149680739.914,0.0,-74387972943.0,19148617427.1,17055371909.5,2.78392607057e+11,-5116611572.86,1,0.0,-0.00217230758249,56910424320.8,0.0,-849141979.233,7340529300.0,49569895020.8,-125744700.0,1,0.0,0.0,61970136000.0,0.0,0.0,13056412000.0,48913724000.0,0.0,1,0.0,-0.00920899809537,7.04305797436e+11,217868102.224,0.0,-96965984291.1,50235979727.6,24824980907.9,6.54069817709e+11,-7447494272.37,1,0.0,-0.0158269135612,7.78695357274e+11,453701436.737,0.0,-1.85715155873e+11,60016951307.3,51697010208.9,7.18678405967e+11,-15509103062.7,1,0.0,-0.0229333214366,5.82681543096e+11,621595831.322,0.0,-3.22596245804e+11,36007561900.0,70827737000.0,5.46673981196e+11,-21248321100.0,1,0.0,0.0,11265334000.0,0.0,0.0,835546000.0,10429788000.0,0.0,1,0.0,-0.0149076484635,8652000463.95,0.0,-2898988536.05,492032000.0,8159968463.95,-174804000.0,1,0.0,0.0,14498916000.0,0.0,0.0,636568000.0,13862348000.0,0.0,1,0.0,-0.0236539024384,14210247737.8,15745918.5099,0.0,-8006757656.82,895104394.616,1794168684.61,13315143343.2,-538250605.384,1,0.0,-0.0207471671984,29335401432.2,0.0,-5568264947.1,3439156379.25,25896245052.9,-739494620.747,1,0.0,-0.00217074729701,54860897562.8,3621931.63368,0.0,-2051088137.2,3123062700.0,412701000.0,51737834862.8,-123810300.0,1,0.0,-0.0134508833115,33037702952.4,0.0,-4865538774.48,3172112726.9,29865590225.5,-516783273.098,1,0.0,-0.0123775626943,1.00206905264e+12,439408495.327,0.0,-1.96438540055e+11,71179728700.0,50068401000.0,9.30889323945e+11,-15020520300.0
2,1,0.0,-0.000382959486022,45799760808.1,8706507.52556,0.0,-206352572.866,3604067872.72,992063000.0,42195692935.4,-297618900.0,1,0.0,-0.000525634391405,7725721873.18,134622692.983,0.0,-57032486.4912,517323169.607,15339582752.0,7208398703.57,-4601874825.6,1,0.0,-0.000552099827013,2.94988673176e+11,149680739.914,0.0,-2388278850.0,18984344968.6,17055371909.5,2.76004328207e+11,-5116611572.86,1,0.0,-0.000269817367808,56791375205.5,0.0,-103693694.346,7325173879.11,49466201326.4,-125744700.0,1,0.0,-0.000158282229518,61923580262.4,0.0,-36746966.2904,13046603228.7,48876977033.7,0.0,1,0.0,-0.000607351050894,6.98308612558e+11,217868102.224,0.0,-5569424012.65,49808218861.4,24824980907.9,6.48500393696e+11,-7447494272.37,1,0.0,-0.000577369122116,7.72862050804e+11,453701436.737,0.0,-5383711815.13,59567356652.5,51697010208.9,7.13294694152e+11,-15509103062.7,1,0.0,-0.000625719222668,5.76781593458e+11,621595831.322,0.0,-5535354595.86,35642966857.8,70827737000.0,5.41138626601e+11,-21248321100.0,1,0.0,-0.00030875011189,11218439176.7,0.0,-43416650.1955,832067826.867,10386371349.8,0.0,1,0.0,-0.000228055495797,8617304395.81,0.0,-32722931.8815,490058863.745,8127245532.06,-174804000.0,1,0.0,-0.000402871051684,14365872908.9,0.0,-127201897.594,630726806.463,13735146102.4,0.0,1,0.0,-0.000502695762293,14096842050.9,15745918.5099,0.0,-106262255.605,887960963.297,1794168684.61,13208881087.6,-538250605.384,1,0.0,-0.000642482501354,29174635711.7,0.0,-141918238.376,3420308897.16,25754326814.5,-739494620.747,1,0.0,-0.000445798330372,54431278491.9,3621931.63368,0.0,-405162174.377,3098605803.46,412701000.0,51332672688.4,-123810300.0,1,0.0,-0.000356809125568,32914928776.2,0.0,-110986022.326,3160324573.0,29754604203.2,-516783273.098,1,0.0,-0.000624875105188,9.93253852156e+11,439408495.327,0.0,-8189032484.33,70553560695.3,50068401000.0,9.2270029146e+11,-15020520300.0
3,1,0.0,-0.000382959486022,45799760808.1,8706507.52556,0.0,-206352572.866,3604067872.72,992063000.0,42195692935.4,-297618900.0,1,0.0,-0.000525634391405,7725721873.18,134622692.983,0.0,-57032486.4912,517323169.607,15339582752.0,7208398703.57,-4601874825.6,1,0.0,-0.000552099827013,2.94988673176e+11,149680739.914,0.0,-2388278850.0,18984344968.6,17055371909.5,2.76004328207e+11,-5116611572.86,1,0.0,-0.000269817367808,56791375205.5,0.0,-103693694.346,7325173879.11,49466201326.4,-125744700.0,1,0.0,-0.000158282229518,61923580262.4,0.0,-36746966.2904,13046603228.7,48876977033.7,0.0,1,0.0,-0.000607351050894,6.98308612558e+11,217868102.224,0.0,-5569424012.65,49808218861.4,24824980907.9,6.48500393696e+11,-7447494272.37,1,0.0,-0.000577369122116,7.72862050804e+11,453701436.737,0.0,-5383711815.13,59567356652.5,51697010208.9,7.13294694152e+11,-15509103062.7,1,0.0,-0.000625719222668,5.76781593458e+11,621595831.322,0.0,-5535354595.86,35642966857.8,70827737000.0,5.41138626601e+11,-21248321100.0,1,0.0,-0.00030875011189,11218439176.7,0.0,-43416650.1955,832067826.867,10386371349.8,0.0,1,0.0,-0.000228055495797,8617304395.81,0.0,-32722931.8815,490058863.745,8127245532.06,-174804000.0,1,0.0,-0.000402871051684,14365872908.9,0.0,-127201897.594,630726806.463,13735146102.4,0.0,1,0.0,-0.000502695762293,14096842050.9,15745918.5099,0.0,-106262255.605,887960963.297,1794168684.61,13208881087.6,-538250605.384,1,0.0,-0.000642482501354,29174635711.7,0.0,-141918238.376,3420308897.16,25754326814.5,-739494620.747,1,0.0,-0.000445798330372,54431278491.9,3621931.63368,0.0,-405162174.377,3098605803.46,412701000.0,51332672688.4,-123810300.0,1,0.0,-0.000356809125568,32914928776.2,0.0,-110986022.326,3160324573.0,29754604203.2,-516783273.098,1,0.0,-0.000624875105188,9.93253852156e+11,439408495.327,0.0,-8189032484.33,70553560695.3,50068401000.0,9.2270029146e+11,-15020520300.0
4,2,0.0,-0.000382959486022,45575868782.4,8706507.52556,0.0,-206352572.866,3586528419.86,992063000.0,41989340362.5,-297618900.0,2,0.0,-0.000525634391405,7664628481.58,134622692.983,0.0,-57032486.4912,513262264.492,15339582752.0,7151366217.08,-4601874825.6,2,0.0,-0.000552099827013,2.9243753113e+11,149680739.914,0.0,-2388278850.0,18821481773.1,17055371909.5,2.73616049357e+11,-5116611572.86,2,0.0,-0.000269817367808,56672358211.8,0.0,-103693694.346,7309850579.74,49362507632.1,-125744700.0,2,0.0,-0.000158282229518,61877031893.8,0.0,-36746966.2904,13036801826.4,48840230067.4,0.0,2,0.0,-0.000607351050894,6.92315070075e+11,217868102.224,0.0,-5569424012.65,49384100391.7,24824980907.9,6.42930969684e+11,-7447494272.37,2,0.0,-0.000577369122116,7.67032112305e+11,453701436.737,0.0,-5383711815.13,59121129968.7,51697010208.9,7.07910982337e+11,-15509103062.7,2,0.0,-0.000625719222668,5.70885335532e+11,621595831.322,0.0,-5535354595.86,35282063527.5,70827737000.0,5.35603272005e+11,-21248321100.0,2,0.0,-0.00030875011189,11171558832.1,0.0,-43416650.1955,828604132.516,10342954699.6,0.0,2,0.0,-0.000228055495797,8582616240.3,0.0,-32722931.8815,488093640.118,8094522600.18,-174804000.0,2,0.0,-0.000402871051684,14232883416.9,0.0,-127201897.594,624939212.136,13607944204.8,0.0,2,0.0,-0.000502695762293,13983493372.5,15745918.5099,0.0,-106262255.605,880874540.536,1794168684.61,13102618832.0,-538250605.384,2,0.0,-0.000642482501354,29013973280.4,0.0,-141918238.376,3401564704.23,25612408576.2,-739494620.747,2,0.0,-0.000445798330372,54001850944.4,3621931.63368,0.0,-405162174.377,3074340430.39,412701000.0,50927510514.0,-123810300.0,2,0.0,-0.000356809125568,32792198406.9,0.0,-110986022.326,3148580226.05,29643618180.9,-516783273.098,2,0.0,-0.000624875105188,9.84444160066e+11,439408495.327,0.0,-8189032484.33,69932901090.0,50068401000.0,9.14511258976e+11,-15020520300.0
5,2,0.0,-1.15323601734e-05,45569189598.5,8706507.52556,0.0,-6153586.58522,3586002822.52,992063000.0,41983186775.9,-297618900.0,2,0.0,-1.43727259679e-05,7662983324.41,134622692.983,0.0,-1534995.56169,513152102.888,15339582752.0,7149831221.52,-4601874825.6,2,0.0,-1.65432354372e-05,2.92362357888e+11,149680739.914,0.0,-70335379.4746,18816643910.2,17055371909.5,2.73545713978e+11,-5116611572.86,2,0.0,-8.11542528901e-06,56668792493.6,0.0,-3105797.89453,7309390659.45,49359401834.2,-125744700.0,2,0.0,-5.2424582891e-06,61875492240.0,0.0,-1215265.97819,13036477438.6,48839014801.4,0.0,2,0.0,-1.84146949092e-05,6.92136332978e+11,217868102.224,0.0,-165988326.217,49371351620.9,24824980907.9,6.42764981357e+11,-7447494272.37,2,0.0,-1.69483023155e-05,7.6686344403e+11,453701436.737,0.0,-155668382.793,59108130076.6,51697010208.9,7.07755313954e+11,-15509103062.7,2,0.0,-1.82493981727e-05,5.70716744302e+11,621595831.322,0.0,-158172916.503,35271645213.7,70827737000.0,5.35445099088e+11,-21248321100.0,2,0.0,-9.6181414736e-06,11170110131.5,0.0,-1341250.98593,828496682.883,10341613448.6,0.0,2,0.0,-7.20571295117e-06,8581528763.91,0.0,-1025632.52128,488031796.249,8093496967.66,-174804000.0,2,0.0,-1.17704716201e-05,14229067688.3,0.0,-3648200.93807,624771684.385,13604296003.9,0.0,2,0.0,-1.42693302999e-05,13980325649.3,15745918.5099,0.0,-2968188.16195,880675005.45,1794168684.61,13099650643.8,-538250605.384,2,0.0,-1.80308990747e-05,29009510919.4,0.0,-3939212.97371,3401041556.21,25608469363.2,-739494620.747,2,0.0,-1.30144427345e-05,53989505224.3,3621931.63368,0.0,-11642916.1415,3073637626.4,412701000.0,50915867597.9,-123810300.0,2,0.0,-1.02079910542e-05,32788712048.4,0.0,-3151616.04918,3148245483.58,29640466564.8,-516783273.098,2,0.0,-1.85219629423e-05,9.84187463878e+11,439408495.327,0.0,-238462349.785,69914667251.7,50068401000.0,9.14272796626e+11,-15020520300.0
6,2,0.0,-1.15323601734e-05,45569189598.5,8706507.52556,0.0,-6153586.58522,3586002822.52,992063000.0,41983186775.9,-297618900.0,2,0.0,-1.43727259679e-05,7662983324.41,134622692.983,0.0,-1534995.56169,513152102.888,15339582752.0,7149831221.52,-4601874825.6,2,0.0,-1.65432354372e-05,2.92362357888e+11,149680739.914,0.0,-70335379.4746,18816643910.2,17055371909.5,2.73545713978e+11,-5116611572.86,2,0.0,-8.11542528901e-06,56668792493.6,0.0,-3105797.89453,7309390659.45,49359401834.2,-125744700.0,2,0.0,-5.2424582891e-06,61875492240.0,0.0,-1215265.97819,13036477438.6,48839014801.4,0.0,2,0.0,-1.84146949092e-05,6.92136332978e+11,217868102.224,0.0,-165988326.217,49371351620.9,24824980907.9,6.42764981357e+11,-7447494272.37,2,0.0,-1.69483023155e-05,7.6686344403e+11,453701436.737,0.0,-155668382.793,59108130076.6,51697010208.9,7.07755313954e+11,-15509103062.7,2,0.0,-1.82493981727e-05,5.70716744302e+11,621595831.322,0.0,-158172916.503,35271645213.7,70827737000.0,5.35445099088e+11,-21248321100.0,2,0.0,-9.6181414736e-06,11170110131.5,0.0,-1341250.98593,828496682.883,10341613448.6,0.0,2,0.0,-7.20571295117e-06,8581528763.91,0.0,-1025632.52128,488031796.249,8093496967.66,-174804000.0,2,0.0,-1.17704716201e-05,14229067688.3,0.0,-3648200.93807,624771684.385,13604296003.9,0.0,2,0.0,-1.42693302999e-05,13980325649.3,15745918.5099,0.0,-2968188.16195,880675005.45,1794168684.61,13099650643.8,-538250605.384,2,0.0,-1.80308990747e-05,29009510919.4,0.0,-3939212.97371,3401041556.21,25608469363.2,-739494620.747,2,0.0,-1.30144427345e-05,53989505224.3,3621931.63368,0.0,-11642916.1415,3073637626.4,412701000.0,50915867597.9,-123810300.0,2,0.0,-1.02079910542e-05,32788712048.4,0.0,-3151616.04918,3148245483.58,29640466564.8,-516783273.098,2,0.0,-1.85219629423e-05,9.84187463878e+11,439408495.327,0.0,-238462349.785,69914667251.7,50068401000.0,9.14272796626e+11,-15020520300.0
7,3,0.0,-1.15323601734e-05,45562510491.6,8706507.52556,0.0,-6153586.58522,3585477302.22,992063000.0,41977033189.3,-297618900.0,3,0.0,-1.43727259679e-05,7661338190.89,134622692.983,0.0,-1534995.56169,513041964.928,15339582752.0,7148296225.96,-4601874825.6,3,0.0,-1.65432354372e-05,2.92287185889e+11,149680739.914,0.0,-70335379.4746,18811807290.9,17055371909.5,2.73475378598e+11,-5116611572.86,3,0.0,-8.11542528901e-06,56665226804.4,0.0,-3105797.89453,7308930768.1,49356296036.3,-125744700.0,3,0.0,-5.2424582891e-06,61873952594.4,0.0,-1215265.97819,13036153058.9,48837799535.5,0.0,3,0.0,-1.84146949092e-05,6.91957599173e+11,217868102.224,0.0,-165988326.217,49358606141.5,24824980907.9,6.42598993031e+11,-7447494272.37,3,0.0,-1.69483023155e-05,7.66694778614e+11,453701436.737,0.0,-155668382.793,59095133043.1,51697010208.9,7.07599645571e+11,-15509103062.7,3,0.0,-1.82493981727e-05,5.70548156148e+11,621595831.322,0.0,-158172916.503,35261229976.6,70827737000.0,5.35286926172e+11,-21248321100.0,3,0.0,-9.6181414736e-06,11168661444.8,0.0,-1341250.98593,828389247.183,10340272197.6,0.0,3,0.0,-7.20571295117e-06,8580441295.36,0.0,-1025632.52128,487969960.216,8092471335.14,-174804000.0,3,0.0,-1.17704716201e-05,14225252004.5,0.0,-3648200.93807,624604201.548,13600647802.9,0.0,3,0.0,-1.42693302999e-05,13977157971.2,15745918.5099,0.0,-2968188.16195,880475515.566,1794168684.61,13096682455.6,-538250605.384,3,0.0,-1.80308990747e-05,29005048638.9,0.0,-3939212.97371,3400518488.65,25604530150.2,-739494620.747,3,0.0,-1.30144427345e-05,53977159664.8,3621931.63368,0.0,-11642916.1415,3072934983.07,412701000.0,50904224681.8,-123810300.0,3,0.0,-1.02079910542e-05,32785225725.5,0.0,-3151616.04918,3147910776.7,29637314948.8,-516783273.098,3,0.0,-1.85219629423e-05,9.83930772444e+11,439408495.327,0.0,-238462349.785,69896438168.0,50068401000.0,9.14034334276e+11,-15020520300.0
8,3,0.0,-3.3632804105e-07,45562315757.9,8706507.52556,0.0,-179409.685757,3585461978.27,992063000.0,41976853779.7,-297618900.0,3,0.0,-4.17882590056e-07,7661290378.98,134622692.983,0.0,-44610.3655023,513038763.388,15339582752.0,7148251615.59,-4601874825.6,3,0.0,-4.82142387658e-07,2.92284996138e+11,149680739.914,0.0,-2048827.36372,18811666366.9,17055371909.5,2.73473329771e+11,-5116611572.86,3,0.0,-2.36699806862e-07,56665122817.4,0.0,-90574.3357262,7308917355.45,49356205462.0,-125744700.0,3,0.0,-1.53451362984e-07,61873907529.6,0.0,-35570.1333429,13036143564.3,48837763965.3,0.0,3,0.0,-5.36845180088e-07,6.91952391125e+11,217868102.224,0.0,-4836573.29782,49358234667.4,24824980907.9,6.42594156458e+11,-7447494272.37,3,0.0,-4.93450250661e-07,7.66689869993e+11,453701436.737,0.0,-4530295.64388,59094754717.4,51697010208.9,7.07595115275e+11,-15509103062.7,3,0.0,-5.31295406311e-07,5.70543250844e+11,621595831.322,0.0,-4602174.22121,35260926847.0,70827737000.0,5.35282323998e+11,-21248321100.0,3,0.0,-2.80939179532e-07,11168619140.3,0.0,-39166.8416855,828386109.469,10340233030.8,0.0,3,0.0,-2.10702128081e-07,8580409504.54,0.0,-29982.9028811,487968152.299,8092441352.24,-174804000.0,3,0.0,-3.42631485423e-07,14225140990.4,0.0,-106140.03634,624599327.529,13600541662.9,0.0,3,0.0,-4.14920647369e-07,13977065902.5,15745918.5099,0.0,-86269.2608945,880469716.155,1794168684.61,13096596186.4,-538250605.384,3,0.0,-5.24647594531e-07,29004918836.8,0.0,-114584.574512,3400503271.22,25604415565.6,-739494620.747,3,0.0,-3.78539823996e-07,53976800739.7,3621931.63368,0.0,-338492.578025,3072914550.57,412701000.0,50903886189.2,-123810300.0,3,0.0,-2.97226651339e-07,32785124234.6,0.0,-91746.2699091,3147901032.06,29637223202.5,-516783273.098,3,0.0,-5.39363976294e-07,9.83923301288e+11,439408495.327,0.0,-6940459.1344,69895907471.2,50068401000.0,9.14027393817e+11,-15020520300.0
